Lista de indices Diarios da TaxaSelic;19940101;20131025;
Data;Taxa Anual;Fator Diário;Fator Acumulado;
26/10/1994;     60,26;          1,00187333;      11,5387482422933454;
27/10/1994;     60,40;          1,00187667;      11,5604026649572101;
28/10/1994;     60,26;          1,00187333;      11,5820591140815544;
31/10/1994;     64,76;          1,00198333;      11,6050301593842857;
01/11/1994;     64,62;          1,00198000;      11,6280081190998666;
03/11/1994;     65,17;          1,00199333;      11,6511865765239119;
04/11/1994;     65,31;          1,00199667;      11,6744501512256599;
07/11/1994;     65,31;          1,00199667;      11,6977601756091077;
08/11/1994;     65,31;          1,00199667;      11,7211167424189411;
09/11/1994;     65,31;          1,00199667;      11,7445199445850267;
10/11/1994;     65,31;          1,00199667;      11,7679698752227813;
11/11/1994;     65,45;          1,00200000;      11,7915058149732269;
14/11/1994;     65,45;          1,00200000;      11,8150888266031733;
16/11/1994;     65,45;          1,00200000;      11,8387190042563797;
17/11/1994;     65,45;          1,00200000;      11,8623964422648925;
18/11/1994;     65,45;          1,00200000;      11,8861212351494222;
21/11/1994;     65,45;          1,00200000;      11,9098934776197211;
22/11/1994;     65,45;          1,00200000;      11,9337132645749605;
23/11/1994;     65,45;          1,00200000;      11,9575806911041104;
24/11/1994;     65,45;          1,00200000;      11,9814958524863187;
25/11/1994;     65,45;          1,00200000;      12,0054588441912913;
28/11/1994;     65,45;          1,00200000;      12,0294697618796739;
29/11/1994;     65,45;          1,00200000;      12,0535287014034332;
30/11/1994;     65,45;          1,00200000;      12,0776357588062401;
01/12/1994;     59,19;          1,00184667;      12,0999391664329548;
02/12/1994;     58,26;          1,00182333;      12,1220013485132870;
05/12/1994;     58,26;          1,00182333;      12,1441037572320718;
06/12/1994;     57,99;          1,00181667;      12,1661655862047225;
07/12/1994;     54,85;          1,00173667;      12,1872942009933167;
08/12/1994;     54,98;          1,00174000;      12,2085000929030451;
09/12/1994;     54,98;          1,00174000;      12,2297428830646964;
12/12/1994;     55,11;          1,00174333;      12,2510633607250295;
13/12/1994;     54,85;          1,00173667;      12,2723394149316999;
14/12/1994;     54,46;          1,00172667;      12,2935296952292800;
15/12/1994;     53,17;          1,00169333;      12,3143466978681026;
16/12/1994;     51,63;          1,00165333;      12,3347063766940889;
19/12/1994;     52,02;          1,00166333;      12,3552230638516354;
20/12/1994;     51,25;          1,00164333;      12,3755267725691548;
21/12/1994;     50,62;          1,00162667;      12,3956576707042898;
22/12/1994;     50,75;          1,00163000;      12,4158625927075378;
23/12/1994;     50,24;          1,00161667;      12,4359349452852903;
26/12/1994;     50,24;          1,00161667;      12,4560397482332847;
27/12/1994;     49,86;          1,00160667;      12,4760524936155786;
28/12/1994;     49,86;          1,00160667;      12,4960973928754960;
29/12/1994;     49,86;          1,00160667;      12,5161744976737073;
30/12/1994;     49,86;          1,00160667;      12,5362838597538847;
02/01/1995;     47,37;          1,00154000;      12,5555897368979057;
03/01/1995;     47,12;          1,00153333;      12,5748415993091833;
04/01/1995;     47,12;          1,00153333;      12,5941229811786521;
05/01/1995;     47,12;          1,00153333;      12,6134339277693827;
06/01/1995;     47,12;          1,00153333;      12,6327744844138494;
09/01/1995;     47,12;          1,00153333;      12,6521446965140357;
10/01/1995;     47,00;          1,00153000;      12,6715024778997021;
11/01/1995;     45,89;          1,00150000;      12,6905097316165517;
12/01/1995;     45,77;          1,00149667;      12,7095032368165702;
13/01/1995;     45,89;          1,00150000;      12,7285674916717951;
16/01/1995;     45,77;          1,00149667;      12,7476179567795555;
17/01/1995;     45,77;          1,00149667;      12,7666969341469288;
18/01/1995;     46,02;          1,00150333;      12,7858894926489399;
19/01/1995;     45,89;          1,00150000;      12,8050683268879133;
20/01/1995;     45,89;          1,00150000;      12,8242759293782451;
23/01/1995;     45,77;          1,00149667;      12,8434696384334677;
24/01/1995;     45,89;          1,00150000;      12,8627348428911179;
25/01/1995;     45,77;          1,00149667;      12,8819861122484277;
